"Name"	"Artist"	"Album"	"Genre"	"Size"	"Time"	"Year"	"Comments"
"Don't Speak"	"No Doubt"	"Tragic Kingdom"	"Alternative"	"9663342"	"264"	"1995"	"Comment 84"
"You Can Do It"	"No Doubt"	"Tragic Kingdom"	"Alternative"	"8991132"	"255"	"1995"	"Comment 85"
"World Go 'Round"	"No Doubt"	"Tragic Kingdom"	"Alternative"	"8829434"	"249"	"1995"	"Comment 86"
"End It on This"	"No Doubt"	"Tragic Kingdom"	"Alternative"	"8058169"	"226"	"1995"	"Comment 87"
"Tragic Kingdom"	"No Doubt"	"Tragic Kingdom"	"Alternative"	"11790756"	"333"	"1995"	"Comment 88"
"Intro"	"No Doubt"	"Rock Steady"	"Pop"	"1447360"	"27"	"2001"	"Comment 89"
"Hella Good"	"No Doubt"	"Rock Steady"	"Pop"	"9041614"	"243"	"2001"	"Comment 90"
"Hey Baby"	"No Doubt"	"Rock Steady"	"Pop"	"8021844"	"207"	"2001"	"Comment 91"
"Making Out"	"No Doubt"	"Rock Steady"	"Pop"	"9823484"	"255"	"2001"	"Comment 92"
"Underneath It All"	"No Doubt"	"Rock Steady"	"Pop"	"11130445"	"303"	"2001"	"Comment 93"
"Detective"	"No Doubt"	"Rock Steady"	"Pop"	"6848189"	"173"	"2001"	"Comment 94"
"Don't Let Me Down"	"No Doubt"	"Rock Steady"	"Pop"	"8934893"	"249"	"2001"	"Comment 95"
"Start the Fire"	"No Doubt"	"Rock Steady"	"Pop"	"9514440"	"248"	"2001"	"Comment 96"
"Running"	"No Doubt"	"Rock Steady"	"Pop"	"8859829"	"240"	"2001"	"Comment 97"
"In My Head"	"No Doubt"	"Rock Steady"	"Pop"	"7419449"	"206"	"2001"	"Comment 98"
"Platinum Blonde Life"	"No Doubt"	"Rock Steady"	"Pop"	"7941146"	"207"	"2001"	"Comment 99"
"Waiting Room"	"No Doubt"	"Rock Steady"	"Pop"	"9911585"	"268"	"2001"	"Comment 100"
"Rock Steady"	"No Doubt"	"Rock Steady"	"Pop"	"11151161"	"322"	"2001"	"Comment 101"
"Underneath It All (Radio 1 Live Acoustic Version) [Bonus Track]"	"No Doubt"	"Rock Steady"	"Pop"	"7989015"	"225"	"2001"	"Comment 102"
"Just a Girl (Radio 1 Live Acoustic Version) [Bonus Track]"	"No Doubt"	"Rock Steady"	"Pop"	"7617008"	"214"	"2001"	"Comment 103"
"Hotel California"	"Eagles"	"Hotel California"	"Rock"	"13430794"	"390"	"1976"	"Comment 104"
"New Kid In Town"	"Eagles"	"Hotel California"	"Rock"	"11093570"	"304"	"1976"	"Comment 105"
"Life In the Fast Lane"	"Eagles"	"Hotel California"	"Rock"	"10403931"	"286"	"1976"	"Comment 106"
"Wasted Time"	"Eagles"	"Hotel California"	"Rock"	"10438692"	"296"	"1976"	"Comment 107"
"Wasted Time (Reprise)"	"Eagles"	"Hotel California"	"Rock"	"3396166"	"83"	"1976"	"Comment 108"
"Victim of Love"	"Eagles"	"Hotel California"	"Rock"	"9397294"	"249"	"1976"	"Comment 109"
"Pretty Maids All In a Row"	"Eagles"	"Hotel California"	"Rock"	"8765243"	"239"	"1976"	"Comment 110"
"Try and Love Again"	"Eagles"	"Hotel California"	"Rock"	"10966133"	"311"	"1976"	"Comment 111"
"The Last Resort"	"Eagles"	"Hotel California"	"Rock"	"15672319"	"449"	"1976"	"Comment 112"
"I Don't Know"	"Ozzy Osbourne"	"Blizzard of Ozz (Expanded Edition)"	"Heavy Metal"	"10875097"	"317"	"2011"	"Comment 113"
"Crazy Train"	"Ozzy Osbourne"	"Blizzard of Ozz (Expanded Edition)"	"Metal"	"10693687"	"296"	"2011"	"Comment 114"
"Goodbye to Romance"	"Ozzy Osbourne"	"Blizzard of Ozz (Expanded Edition)"	"Heavy Metal"	"11489696"	"336"	"2011"	"Comment 115"
"Dee"	"Ozzy Osbourne"	"Blizzard of Ozz (Expanded Edition)"	"Heavy Metal"	"2188775"	"50"	"2011"	"Comment 116"
